 Element ID, Tensor(Element Stresses (2D & 3D)),

1,5.336E+01 2.426E+01 2.675E+01 -2.164E+00 9.352E-01 1.127E+01 ,
2,-6.768E-01 -7.701E-02 -6.612E-01 -9.424E-01 2.790E-01 3.137E-01 ,
3,9.607E+01 9.283E+01 1.982E+02 2.644E+00 -6.853E+00 6.481E-01 ,
4,5.409E+01 4.206E+01 2.716E+01 -1.176E+01 -9.353E+00 2.950E+00 ,
5,3.521E+00 -1.858E+00 -1.153E+00 1.395E+00 -3.393E-01 8.930E+00 ,
6,4.144E+00 3.747E+00 3.239E+00 -7.380E-01 -7.909E-01 8.467E+00 ,
7,-1.561E-01 2.016E+00 6.095E+00 8.026E-02 -8.390E-01 1.407E+01 ,
8,8.948E+00 1.727E+01 1.759E+01 -5.192E-01 -3.673E+00 -6.550E-01 ,
9,8.451E-01 -2.772E+00 2.130E-01 1.893E-01 4.325E-01 1.471E+01 ,
10,-1.132E+01 -8.974E+00 2.928E+00 2.731E+00 -9.446E+00 8.446E-01 ,
11,-1.047E+01 -7.194E+00 -4.569E+00 -3.463E+00 7.735E-01 2.654E+00 ,
12,1.008E+01 -1.630E+00 2.415E+00 1.101E+00 1.466E+00 -5.344E+00 ,
13,2.346E+00 8.516E-02 -2.283E+00 -3.916E+00 -1.389E+00 3.125E+00 ,
14,-5.402E-01 -1.527E+00 -6.575E-01 -1.863E-01 -1.267E+00 1.245E+01 ,
15,-1.125E+01 -1.973E+00 -2.252E+00 -1.007E+00 2.688E-01 4.368E+00 ,
16,1.056E+00 1.691E+00 2.265E+00 -7.185E-01 1.624E-01 2.969E+00 ,
17,-1.430E+01 -7.572E+00 -1.463E+01 2.644E-01 -6.563E+00 3.003E+00 ,
18,-1.651E+01 -1.533E+01 3.482E+01 2.750E+00 -1.377E+01 4.443E+00 ,
19,-2.420E+01 -8.044E+00 -5.403E+00 -2.226E+00 -3.617E-01 1.247E+00 ,
20,1.734E+01 6.377E+00 1.695E+01 2.683E+00 -2.635E+00 -1.301E+01 ,
21,-1.426E+01 -1.468E+00 5.553E-01 -1.947E+00 2.130E-01 4.729E+00 ,
22,1.879E+01 9.278E+00 5.036E+00 -4.664E+00 -9.739E-01 4.229E+00 ,
23,-6.449E-01 -5.373E-01 -6.036E-01 -7.014E-02 4.041E-01 -5.313E-01 ,
24,-2.692E+00 -4.364E+00 -4.710E+00 4.972E+00 2.141E+00 1.160E+00 ,
25,1.829E-01 -8.381E-01 1.128E-02 -3.108E+00 1.013E+00 3.394E+00 ,
26,1.057E+01 -9.820E-01 2.731E+00 -4.378E+00 8.621E-01 4.681E+00 ,
27,-6.124E+00 1.546E+00 2.333E+00 8.760E-02 -5.805E-01 9.987E-01 ,
