 Element ID, Tensor(Element Stresses (2D & 3D)),

1,3.858E-02 2.202E-02 1.005E+00 6.694E-03 -2.322E-03 -5.216E-03 ,
2,2.050E-02 3.792E-02 -4.576E-03 -8.272E-05 -3.510E-03 -4.032E-02 ,
3,-3.421E-02 -2.080E-02 7.704E-02 -8.042E-03 1.118E-02 -3.660E-02 ,
4,1.186E-01 1.650E-01 -4.471E-01 5.364E-02 -2.001E-01 2.900E-01 ,
5,-9.061E-02 -5.130E-02 -2.026E-02 -7.221E-02 4.155E-03 -1.961E-01 ,
6,-2.056E-01 -2.011E-01 -1.082E+00 2.458E-02 6.463E-03 -1.512E-02 ,
7,-3.438E-02 -4.539E-02 -6.315E-01 7.134E-03 -1.085E-03 4.745E-02 ,
8,3.195E-02 9.701E-03 6.716E-02 -4.420E-03 3.051E-03 -3.498E-02 ,
9,2.695E-01 -1.227E-01 -2.744E-01 -9.579E-02 -1.684E-01 -9.537E-03 ,
10,2.603E-02 8.576E-03 6.855E-01 1.294E-02 1.525E-02 -3.965E-02 ,
11,9.654E-03 -6.382E-03 -1.592E-02 1.848E-04 1.526E-03 5.392E-04 ,
12,-6.698E-02 -7.090E-02 1.201E-01 -2.239E-03 -2.210E-03 7.085E-03 ,
13,2.372E-01 3.979E-01 8.533E-01 1.637E-01 -1.666E-01 -1.511E-01 ,
14,-1.043E-02 -7.306E-03 -5.029E-01 -6.958E-03 1.444E-02 8.749E-02 ,
15,-1.437E-02 -9.949E-04 -5.530E-04 2.921E-04 3.233E-04 -3.140E-03 ,
16,2.327E-02 -3.436E-03 3.009E-02 -3.768E-03 -1.646E-04 -3.033E-02 ,
17,3.009E-02 -5.005E-03 -4.765E-01 1.935E-02 -6.959E-04 1.661E-01 ,
18,-7.031E-02 -7.943E-02 3.510E-01 1.940E-03 2.049E-03 5.180E-02 ,
19,5.814E-02 1.206E-01 9.391E-02 -1.730E-02 2.634E-02 -3.686E-02 ,
20,-1.743E-01 -1.607E-01 -1.809E-01 -1.632E-02 -3.627E-03 -1.260E-01 ,
21,-3.224E-03 2.189E-03 4.240E-03 6.467E-04 9.886E-04 1.431E-03 ,
22,-5.344E-02 -3.571E-02 2.791E-01 3.628E-04 1.136E-02 1.509E-01 ,
23,-7.407E-02 -9.446E-02 -1.880E+00 -2.270E-02 1.042E-02 -4.812E-02 ,
24,1.896E-02 2.771E-03 3.813E-01 8.660E-04 -3.552E-03 2.067E-01 ,
25,-1.858E-02 -3.836E-03 1.023E-02 9.213E-04 -1.148E-03 1.472E-02 ,
26,-2.512E-02 -8.908E-03 -6.601E-03 -6.342E-04 -8.636E-04 -4.092E-03 ,
27,-1.604E-01 6.017E-02 -7.134E-02 5.413E-02 -3.466E-02 1.680E-01 ,
28,-1.142E-01 -1.592E-01 7.731E-01 8.310E-03 2.441E-02 -5.440E-02 ,
29,-1.593E-02 -8.385E-05 -6.546E-04 9.578E-04 -4.401E-04 -4.390E-03 ,
30,4.316E-02 -1.099E-02 1.278E+00 1.426E-02 8.260E-03 -6.196E-02 ,
31,3.828E-02 2.421E-02 -1.528E-01 -6.605E-04 -5.461E-03 1.831E-01 ,
32,-4.964E-02 5.255E-04 2.185E-01 1.777E-02 9.479E-03 2.739E-02 ,
33,7.639E-03 2.798E-03 3.275E-03 -4.996E-04 5.617E-04 2.227E-03 ,
34,-1.117E-02 6.393E-04 1.315E-03 6.702E-04 -4.884E-04 -1.099E-03 ,
35,-3.950E-02 -2.713E-02 1.457E-01 7.798E-03 2.843E-04 2.398E-02 ,
36,1.124E-02 1.133E-02 1.317E-02 4.903E-04 -1.550E-04 5.485E-03 ,
37,-2.816E-04 -3.519E-04 1.391E-03 3.762E-05 3.892E-04 -2.540E-04 ,
38,1.055E-01 1.298E-01 3.154E-01 4.078E-03 6.780E-03 4.686E-03 ,
39,-1.087E-02 2.902E-02 -2.193E-02 6.435E-03 6.819E-03 8.879E-02 ,
40,-1.483E-02 5.186E-05 -3.563E-04 1.612E-03 -7.355E-04 -5.390E-03 ,
41,-1.324E-01 -1.121E-01 5.019E-01 3.248E-03 -7.516E-03 1.981E-01 ,
42,-2.495E-02 -1.148E-02 -3.082E-03 6.398E-04 -1.764E-03 1.249E-02 ,
43,-3.477E-02 -5.996E-02 5.443E-02 -7.874E-03 -9.995E-03 4.985E-02 ,
