 Element ID, Tensor(Element Stresses (2D & 3D)),

13401,4.324E-02 -6.292E-02 -2.190E-01 -4.303E-02 1.381E-02 -7.021E-02 ,
13400,1.392E-01 1.021E-01 7.793E-02 8.857E-03 -8.506E-02 2.766E-02 ,
13399,-5.015E-01 -8.243E-01 1.130E+00 3.461E-02 -6.089E-01 1.722E-03 ,
13398,1.193E+00 6.401E-01 5.359E-01 1.081E-01 4.054E-02 -3.757E-03 ,
13397,-3.698E-03 1.371E-02 1.997E-01 3.147E-02 -4.152E-02 -4.838E-03 ,
13396,-1.816E+00 -2.389E+00 -1.696E+00 -2.669E-01 -2.516E-01 4.528E-02 ,
13395,7.346E-01 1.684E+00 1.267E+00 -3.928E-02 7.329E-01 -5.925E-02 ,
13394,-2.966E-01 -5.399E-01 -5.546E-01 -4.213E-02 2.248E-02 -1.006E-01 ,
13393,-3.643E-01 -1.324E-01 -2.314E-01 -6.557E-02 -6.017E-02 -1.529E-02 ,
13392,-2.331E-01 -2.879E-01 -3.606E-01 -8.820E-02 -1.090E-01 -4.197E-02 ,
13391,-1.911E-01 4.895E-01 -3.468E-01 2.931E-02 2.156E-02 -3.898E-02 ,
13390,-1.118E-01 1.169E+00 2.195E-01 3.333E-02 -7.006E-01 -3.643E-02 ,
13389,-3.865E-01 6.452E-01 1.143E-01 1.803E-01 -3.950E-01 6.069E-02 ,
13388,-1.071E-01 -6.470E-02 7.448E-02 -8.848E-03 8.271E-02 -1.761E-03 ,
13387,-2.049E-02 3.287E-03 2.617E-02 -3.562E-02 -1.210E-02 -4.332E-03 ,
13386,1.557E-02 1.036E+00 3.248E-01 -3.262E-02 6.409E-01 2.088E-02 ,
13385,1.133E+00 4.249E+00 1.016E+00 -1.573E-02 -6.410E-01 -1.174E-01 ,
13384,1.075E-02 -1.592E-02 -2.622E-02 3.903E-02 1.434E-02 -2.359E-02 ,
13383,-2.782E-01 -2.303E-01 -4.375E-01 -3.221E-02 -1.623E-02 -5.693E-02 ,
13382,1.282E-01 1.737E-01 1.740E-01 -6.772E-02 4.287E-02 1.898E-03 ,
13381,-1.057E-01 -1.122E-01 -5.995E-02 -7.572E-02 3.077E-02 1.898E-03 ,
13380,4.836E-02 -1.041E-02 -7.597E-02 5.903E-02 -2.311E-02 1.797E-02 ,
13379,-2.375E-01 -5.520E-01 -5.547E-01 -1.272E-03 3.510E-02 -5.613E-02 ,
13378,-1.501E-02 3.150E-02 1.573E-01 7.394E-03 -3.598E-03 4.048E-03 ,
13377,-1.567E-01 -1.560E-01 -2.948E-01 -3.267E-02 -6.025E-02 3.426E-02 ,
13376,-3.064E-01 -2.111E+00 -5.366E-01 -4.677E-01 -2.980E-01 4.350E-01 ,
13375,4.758E-01 4.363E-01 3.989E-02 -1.144E-01 2.454E-01 -2.689E-02 ,
13374,9.343E-02 4.605E-02 3.256E-02 4.578E-02 -1.720E-02 2.764E-02 ,
13373,1.428E-01 2.207E-01 2.162E-01 2.893E-02 -8.449E-02 2.550E-02 ,
13372,1.481E-01 1.175E+00 6.415E-01 2.124E-02 7.219E-01 5.223E-02 ,
13371,4.339E-01 4.400E-01 4.061E-01 6.904E-02 1.776E-01 2.065E-03 ,
13370,6.514E-01 1.245E+00 5.649E-01 -4.223E-03 -3.170E-02 -2.763E-02 ,
13369,-3.451E-01 -1.212E-01 -4.611E-01 1.007E-02 5.626E-02 -1.332E-02 ,
13368,1.061E-01 1.071E+00 3.991E-01 8.234E-02 -3.303E-01 4.854E-02 ,
13367,-1.410E-01 -8.371E-02 3.361E-02 1.750E-02 -1.016E-01 3.900E-02 ,
13366,1.336E+00 2.443E+00 1.896E+00 4.908E-02 -5.933E-01 1.786E-01 ,
13365,3.698E-01 1.169E+00 9.143E-01 6.550E-02 -8.244E-01 -2.711E-03 ,
13364,-4.692E-01 3.081E-01 -6.055E-01 2.022E-02 -1.587E-01 6.069E-02 ,
13363,7.532E-01 1.854E+00 1.261E+00 3.265E-02 4.980E-01 -1.470E-01 ,
13362,1.417E-01 1.198E-01 9.681E-02 -5.643E-02 1.517E-02 1.872E-02 ,
13361,-1.289E-01 -1.227E-01 -2.696E-01 4.028E-02 -5.139E-02 -7.016E-03 ,
13360,-1.175E-01 -1.490E-01 -2.234E-01 3.537E-02 -2.008E-02 1.936E-03 ,
13359,4.394E-01 2.952E-01 5.568E-02 -2.860E-01 3.940E-01 -9.287E-02 ,
13358,-3.410E-01 -2.662E-01 -3.727E-01 -3.959E-01 -1.550E-01 2.905E-02 ,
13357,5.419E-01 4.493E-01 2.663E-01 -2.271E-02 -9.992E-02 -1.173E-02 ,
13356,-8.309E-02 4.790E-01 -1.313E-01 4.288E-02 1.146E-01 -5.117E-02 ,
13355,2.983E-01 1.952E-01 7.182E-02 9.278E-02 -5.180E-02 -4.676E-03 ,
13354,2.526E-01 2.811E-01 1.605E+00 -1.008E-01 -6.417E-01 -5.520E-02 ,
13353,1.019E-01 1.023E+00 5.972E-01 1.764E-01 -3.532E-01 1.516E-01 ,
13352,3.691E-01 6.371E-01 1.738E-01 1.571E-01 -3.372E-01 7.479E-03 ,
13351,3.060E-01 6.832E-01 2.971E-01 -4.193E-01 3.629E-01 -1.923E-01 ,
13350,9.912E-01 3.002E-01 4.282E-01 3.984E-02 1.034E-01 9.142E-02 ,
13349,2.408E-02 -4.107E-01 9.217E-01 -1.213E-01 -5.611E-01 8.759E-02 ,
13348,-8.887E-01 2.602E-01 -9.766E-01 -2.784E-03 -4.895E-01 4.174E-02 ,
13347,-4.756E-01 1.451E-01 -3.718E-01 -7.359E-02 1.001E-01 -6.426E-02 ,
13346,-3.841E-01 1.115E+00 -3.287E-01 -1.867E-02 6.802E-01 9.095E-02 ,
13345,2.813E-02 1.232E+00 3.850E-01 -6.306E-03 -7.507E-01 4.203E-02 ,
13344,-7.682E-01 -6.429E-01 -8.168E-01 -2.445E-01 7.343E-02 -4.368E-02 ,
13343,-3.247E-02 -3.011E-02 -1.643E-01 1.488E-02 6.480E-02 2.858E-02 ,
13342,2.068E-01 1.188E+00 5.648E-01 3.864E-02 6.204E-01 6.652E-02 ,
13341,-6.131E-02 -5.985E-02 -1.498E-01 -3.507E-01 -1.435E-01 4.231E-02 ,
13340,-2.969E-01 3.026E-01 2.253E-01 -5.283E-02 3.231E-01 4.593E-02 ,
13339,2.144E-01 9.936E-01 9.883E-02 -1.037E-01 1.984E-01 -1.569E-02 ,
13338,1.291E-02 1.536E-02 4.331E-02 -1.182E-02 1.456E-02 -5.444E-03 ,
13337,1.069E+00 7.800E-01 9.247E-01 -1.826E-01 2.423E-02 2.888E-02 ,
13336,-6.969E-02 -3.337E-02 -1.523E-01 1.699E-02 1.836E-02 -7.970E-02 ,
13335,7.179E-01 1.277E+00 5.271E-01 -2.231E-01 2.084E-01 6.546E-02 ,
13334,5.149E-01 4.464E-01 2.841E-01 5.978E-02 -2.583E-01 -4.054E-02 ,
13333,3.372E-01 -1.252E-01 -1.598E-01 -8.482E-01 -1.802E-02 1.469E-01 ,
13332,5.710E-01 2.132E+00 5.277E-01 -8.634E-02 -1.516E-01 -3.843E-02 ,
13331,3.175E-02 1.989E-02 -1.420E-02 -2.247E-02 -1.123E-02 7.820E-02 ,
13330,-1.082E-01 1.952E-01 -1.216E-01 -1.047E-01 -1.275E-03 -1.556E-02 ,
13329,3.242E-01 1.205E+00 2.695E-01 6.517E-02 -4.488E-01 1.336E-02 ,
13328,1.650E-01 1.189E+00 1.784E-01 9.224E-02 -4.601E-01 2.508E-02 ,
13327,9.850E-01 3.240E-01 4.886E-01 -7.401E-01 4.066E-01 -3.967E-01 ,
13326,-1.349E-02 -4.477E-02 -1.720E-02 2.146E-02 -6.376E-03 -1.297E-02 ,
13325,2.796E-01 1.934E-01 -5.488E-02 -3.375E-01 2.969E-01 -1.332E-01 ,
13324,-5.704E-02 4.882E-01 -6.769E-02 -8.199E-03 7.727E-02 -1.045E-02 ,
13323,1.792E+00 1.784E+00 1.343E+00 -4.187E-01 -2.718E-01 7.345E-02 ,
13322,3.423E-02 1.884E-01 -7.045E-03 -3.111E-01 1.826E-01 -6.970E-02 ,
13321,-2.542E-01 -4.413E-01 -3.573E-01 -4.509E-01 4.083E-01 -1.670E-02 ,
13320,1.408E+00 2.041E+00 1.183E+00 1.191E+00 4.276E-01 2.267E-01 ,
13319,2.479E-01 6.669E-01 1.306E-01 -3.855E-01 -2.611E-01 -1.410E-02 ,
13318,5.609E-01 3.675E-01 1.536E-01 -1.871E-01 2.765E-01 -2.634E-02 ,
13317,6.914E-01 1.579E+00 1.328E+00 -3.784E-02 -6.478E-01 -8.756E-02 ,
13316,1.660E-01 1.172E+00 2.202E-01 -1.661E-01 -4.155E-01 -1.777E-02 ,
13315,-1.983E-01 4.055E-01 -5.962E-02 1.453E-01 -1.707E-01 8.292E-02 ,
13314,2.649E-02 2.931E-01 -6.756E-02 6.246E-01 -2.923E-01 -1.675E-01 ,
13313,2.051E-01 1.168E-01 4.370E-02 2.156E-02 1.756E-02 2.599E-02 ,
13312,-6.492E-02 4.023E-02 1.018E-02 8.758E-02 2.542E-01 4.547E-02 ,
13311,1.863E+00 1.485E+00 1.933E+00 -5.988E-01 -5.798E-01 5.261E-01 ,
13310,-3.414E-01 1.711E-01 -2.972E-01 -2.787E-02 1.002E-01 -4.960E-03 ,
13309,6.057E-02 5.436E-01 1.482E-01 9.154E-02 3.194E-02 1.635E-03 ,
13308,1.541E+00 1.807E+00 1.126E+00 -2.000E-01 -3.113E-01 1.522E-01 ,
13307,8.105E-02 6.717E-02 3.949E-01 4.319E-02 6.326E-03 -7.060E-03 ,
13306,9.187E-02 1.015E-03 1.985E-01 -2.323E-02 5.281E-02 8.480E-02 ,
13305,3.765E-01 1.615E+00 5.175E-01 6.417E-02 -8.517E-01 -1.295E-01 ,
13304,-1.003E+00 -1.067E+00 -4.900E-01 1.399E-01 2.757E-01 -1.632E-01 ,
13303,-8.037E-02 -8.178E-02 -8.714E-03 -5.362E-03 -5.170E-02 -1.562E-02 ,
13302,-1.805E-01 -1.396E-01 -2.307E-01 8.749E-02 -1.046E-02 -6.678E-02 ,
13301,3.735E-01 1.576E+00 8.423E-01 7.705E-03 -7.552E-01 1.205E-02 ,
13300,4.363E-01 3.245E-01 4.966E-01 1.596E-01 -1.235E-01 3.683E-04 ,
13299,-3.053E-01 -2.430E-01 -2.420E-01 2.698E-01 -1.824E-01 -3.611E-02 ,
13298,-5.591E-01 1.211E-01 -2.927E-01 1.728E-01 1.063E-01 5.916E-02 ,
13297,1.682E+00 1.216E+00 1.623E+00 -9.529E-02 4.066E-01 3.239E-01 ,
13296,3.542E-01 3.984E-01 4.306E-01 -5.060E-01 -6.335E-01 1.901E-01 ,
13295,-9.287E-01 -5.405E-01 -8.202E-01 2.330E-01 -1.777E-01 -1.778E-01 ,
13294,-1.924E+00 -7.879E-03 -1.967E+00 -1.711E-01 8.168E-01 -1.322E-01 ,
13293,-9.600E-01 -2.371E-02 -4.261E-01 4.279E-02 2.600E-01 -1.820E-02 ,
13292,-1.207E+00 -4.249E-01 -9.924E-01 -1.892E-02 8.280E-02 2.670E-02 ,
13291,3.965E-01 1.382E+00 4.164E-01 -8.442E-02 1.882E-01 6.152E-02 ,
13290,-1.669E-01 -1.745E-01 -2.502E-01 3.290E-02 1.240E-02 -5.121E-03 ,
13289,-2.448E-01 -2.327E-01 -6.302E-02 -3.509E-02 9.784E-02 -1.749E-03 ,
