 Element ID, Tensor(Element Stresses (2D & 3D)),

57799,2.741E-02 6.062E-02 2.393E-02 -2.063E-03 -3.298E-03 -2.708E-03 ,
57798,1.167E-01 -3.623E-01 2.811E-02 4.357E-02 2.094E-02 -7.043E-03 ,
57797,2.765E-02 6.826E-02 1.525E-01 8.544E-02 -1.366E-02 5.450E-03 ,
57796,-8.750E-03 -3.064E-01 -2.755E-02 -1.470E-01 2.119E-03 -2.597E-03 ,
57795,-9.246E-03 1.662E-01 3.069E-02 -2.556E-02 5.465E-03 -2.534E-03 ,
57794,1.227E-01 -4.550E-01 -3.260E-01 -1.294E-01 1.556E-02 1.080E-01 ,
57793,6.105E-02 -5.434E-02 -4.452E-02 2.047E-01 -1.297E-03 -7.609E-03 ,
57792,5.455E-01 3.946E-02 9.605E-02 2.359E-01 6.999E-03 -1.123E-02 ,
57791,2.335E-01 -6.447E-02 1.357E-01 2.336E-01 -1.069E-02 -4.384E-02 ,
57790,-9.752E-02 -6.660E-02 -5.523E-02 1.996E-01 3.261E-03 2.626E-03 ,
57789,1.824E-02 -5.670E-01 -9.084E-02 -7.011E-02 -7.057E-03 -3.658E-02 ,
57788,-9.441E-02 8.917E-02 -3.524E-02 4.693E-02 -1.009E-03 -2.818E-03 ,
57787,5.941E-01 2.630E-01 1.704E-01 3.066E-01 1.182E-02 -1.114E-02 ,
57786,5.218E-01 -1.601E-01 -1.411E-02 3.060E-01 2.589E-03 -1.317E-03 ,
57785,-1.193E-01 6.100E-01 2.723E-01 4.451E-01 -3.192E-02 -1.673E-02 ,
57784,3.561E-01 2.712E-01 1.657E-01 1.311E-01 -2.807E-02 -1.386E-02 ,
57783,5.745E-02 -5.234E-01 -4.382E-02 -3.666E-02 9.130E-04 1.585E-02 ,
57782,6.506E-01 4.331E-01 1.882E-02 4.090E-01 8.312E-03 1.563E-03 ,
57781,3.512E-02 1.094E-01 -1.373E-01 2.962E-01 -1.881E-02 -4.156E-03 ,
57780,5.354E-01 1.647E-01 4.973E-02 2.676E-01 1.105E-02 -3.799E-03 ,
57779,1.367E+00 2.188E+00 5.500E-01 8.216E-01 -6.768E-02 -1.206E-01 ,
57778,4.158E-01 2.316E-01 -6.936E-02 3.799E-01 -3.508E-02 6.808E-03 ,
57777,-2.680E-01 1.486E-01 -1.960E-01 4.754E-01 1.094E-03 -1.529E-02 ,
57776,3.476E-01 6.637E-02 6.500E-02 1.254E-01 -2.610E-03 1.147E-02 ,
57775,-2.211E-01 1.343E-01 1.329E-01 -1.950E-01 1.149E-02 3.496E-02 ,
57774,-7.891E-02 1.266E-01 -1.188E-01 4.323E-01 1.990E-02 5.700E-02 ,
57773,-1.843E-01 2.512E-02 -1.271E-02 7.400E-02 3.549E-02 -1.575E-02 ,
57772,4.909E-01 2.060E-01 -1.591E-01 4.733E-01 5.024E-02 -1.006E-02 ,
57771,-2.104E-01 -5.580E-01 -1.848E-01 1.159E-01 -2.101E-02 -2.807E-03 ,
57770,-2.202E-01 4.783E-01 -1.041E-01 5.616E-01 -2.737E-02 4.637E-03 ,
57769,-5.631E-02 -8.987E-02 -4.475E-02 2.312E-01 -6.958E-03 -1.066E-02 ,
57768,3.844E-01 8.937E-02 1.518E-01 -7.145E-02 1.385E-03 1.307E-02 ,
57767,4.297E-03 -6.732E-01 -3.290E-02 -2.498E-02 1.452E-03 9.522E-03 ,
57766,8.223E-01 -7.477E-01 -2.262E-01 -1.253E-02 1.147E-02 -3.698E-02 ,
57765,-2.426E+00 -8.252E-01 -1.016E+00 1.347E-01 -7.059E-03 -6.506E-03 ,
57764,2.930E-02 2.115E-02 -8.156E-02 5.523E-02 3.067E-02 -4.712E-03 ,
57763,-2.814E-02 1.509E-01 9.341E-03 -2.626E-02 9.803E-03 1.042E-03 ,
57762,1.929E-01 2.805E-01 1.190E-01 2.934E-01 -5.102E-02 2.564E-02 ,
57761,5.370E-01 -2.353E-02 2.593E-02 2.969E-01 4.668E-03 6.130E-04 ,
57760,1.933E-01 -4.664E-02 -3.695E-02 1.274E-01 9.849E-04 6.981E-03 ,
57759,-7.734E-02 2.138E-01 2.643E-01 -2.347E-01 -4.445E-02 4.213E-02 ,
57758,3.790E-01 5.795E-02 1.190E-01 -1.061E-01 -1.882E-02 -9.986E-02 ,
57757,5.682E-01 -1.702E-01 1.954E-01 -2.529E-01 2.696E-03 -4.874E-02 ,
57756,6.096E-02 -2.935E-01 3.884E-02 -2.009E-01 4.822E-03 1.084E-02 ,
57755,-1.521E-02 -7.589E-03 -2.591E-02 -1.664E-01 -7.183E-03 3.361E-04 ,
57754,4.571E-02 -6.511E-02 -6.699E-02 -6.994E-02 3.408E-03 -1.023E-02 ,
57753,-7.078E-02 8.777E-02 2.616E-02 1.348E-01 2.802E-02 1.258E-02 ,
57752,2.392E-02 3.017E-01 8.810E-02 3.019E-01 -5.460E-02 -2.634E-02 ,
57751,-7.749E-01 5.403E-01 -5.819E-02 1.737E-01 2.409E-02 -2.839E-02 ,
57750,1.647E-01 1.660E-02 -4.444E-03 1.593E-01 1.180E-03 -1.933E-02 ,
57749,2.227E-01 -3.920E-01 9.843E-03 -4.978E-02 8.180E-03 -1.416E-02 ,
57748,-3.045E-01 -3.488E-01 -4.779E-01 -9.215E-01 -4.366E-02 -3.030E-02 ,
57747,5.846E-01 9.552E-02 1.329E-01 2.988E-01 7.837E-03 -6.150E-03 ,
57746,-1.760E-01 -4.508E-01 -1.739E-01 1.787E-01 1.485E-02 -8.286E-03 ,
57745,1.423E-01 -4.964E-01 5.857E-02 -8.477E-02 -1.061E-02 -4.083E-02 ,
57744,3.026E-01 -1.320E-01 -1.168E-01 2.467E-01 2.645E-03 -6.302E-03 ,
57743,2.066E-01 -3.838E-01 -5.754E-03 1.687E-02 1.951E-03 1.764E-02 ,
57742,-6.824E-02 -5.514E-01 -2.209E-01 -1.740E-01 -2.344E-03 8.559E-03 ,
57741,2.741E-02 8.467E-02 -3.282E-01 1.528E-01 -2.042E-03 -1.434E-02 ,
57740,2.385E-01 -1.938E-01 9.731E-02 2.111E-01 4.189E-02 9.845E-02 ,
57739,-2.679E-01 1.400E-01 -1.144E-02 3.671E-01 3.276E-02 -2.564E-03 ,
57738,3.713E-02 -5.114E-01 -6.108E-02 -8.786E-02 9.482E-03 4.742E-03 ,
57737,7.818E-02 -5.954E-02 -5.248E-02 -1.338E-01 -4.669E-03 1.136E-03 ,
57736,-2.206E-01 1.122E-01 -3.879E-01 2.518E-01 -3.893E-02 -7.416E-02 ,
57735,5.840E-01 -6.342E-04 8.903E-02 3.162E-01 9.849E-03 1.708E-02 ,
57734,1.938E-01 1.304E-01 5.204E-02 8.128E-02 1.496E-02 -9.300E-03 ,
57733,-5.472E-01 -2.150E-03 -4.414E-02 1.821E-01 -5.667E-02 1.181E-02 ,
57732,2.971E-01 -1.607E-01 -8.214E-02 1.211E-01 -8.805E-04 1.087E-02 ,
57731,2.100E-01 6.115E-02 1.927E-02 8.533E-02 8.250E-03 -4.452E-03 ,
57730,-2.395E+00 3.498E-01 -7.437E-01 2.180E-01 1.216E-01 -6.422E-02 ,
57729,-2.733E-02 -4.715E-02 -7.769E-02 4.569E-01 1.159E-02 1.901E-02 ,
57728,5.654E-01 8.086E-02 1.498E-01 8.436E-03 6.116E-03 1.082E-02 ,
57727,-4.836E-01 8.023E-01 1.948E-01 6.103E-01 -1.214E-02 6.142E-04 ,
57726,-5.621E-01 5.130E-02 -2.218E-01 -1.406E-01 -2.957E-03 4.274E-02 ,
