 Node ID, Tensor(Element Stresses (2D & 3D)),

1,4.314E+00 2.809E+02 -1.216E+01 -3.188E+01 -7.497E+01 -3.766E+01 ,
2,2.194E+01 2.135E+02 2.921E+01 -1.457E+01 -3.935E+01 -2.237E+01 ,
3,1.077E+01 1.321E+02 1.342E+01 -4.491E+00 -2.696E+01 -5.320E+00 ,
4,3.534E+00 8.896E+01 4.512E+00 1.265E+00 -1.853E+01 -5.746E-01 ,
5,2.016E+00 6.707E+01 3.020E+00 2.846E+00 -1.139E+01 -9.137E-01 ,
6,5.354E-01 5.222E+01 1.520E+00 2.893E+00 -8.596E+00 -1.137E+00 ,
7,2.577E-01 4.202E+01 1.048E+00 2.607E+00 -6.458E+00 -2.597E-01 ,
8,3.006E-01 3.366E+01 6.611E-01 1.941E+00 -5.237E+00 -8.437E-02 ,
9,5.219E-01 2.761E+01 7.841E-01 2.069E+00 -4.324E+00 -2.777E-01 ,
10,1.472E-01 2.205E+01 5.310E-01 1.739E+00 -3.870E+00 -1.521E-01 ,
11,1.230E-02 1.811E+01 4.798E-01 1.308E+00 -3.384E+00 -6.610E-02 ,
12,-1.111E-01 1.436E+01 2.288E-01 1.287E+00 -2.898E+00 -9.658E-02 ,
13,-6.672E-02 1.112E+01 1.699E-01 1.133E+00 -2.385E+00 -1.569E-01 ,
14,-1.160E-01 8.212E+00 8.795E-02 9.614E-01 -2.049E+00 -8.275E-02 ,
15,-1.331E-01 5.693E+00 5.934E-02 8.238E-01 -1.730E+00 -3.754E-02 ,
16,-1.096E-01 3.605E+00 1.369E-01 6.805E-01 -1.378E+00 -5.688E-02 ,
17,-1.497E-01 1.803E+00 9.995E-02 5.083E-01 -9.975E-01 -5.381E-03 ,
18,-1.393E-01 8.850E-01 1.577E-01 3.154E-01 -5.932E-01 -1.469E-02 ,
19,-7.380E-02 8.413E-02 1.675E-01 7.478E-02 -2.093E-01 -3.573E-02 ,
20,-3.414E-03 -1.021E-01 8.174E-02 -1.524E-03 9.113E-02 -6.412E-03 ,
21,5.288E-02 -3.353E-02 -1.078E-01 -5.250E-02 1.236E-01 -3.397E-02 ,
22,1.052E-01 -1.106E-01 -1.660E-01 -1.730E-02 1.073E-01 -4.453E-02 ,
23,4.885E-02 -9.489E-02 -1.323E-01 4.633E-02 8.604E-02 -2.413E-03 ,
24,-1.781E-01 -6.178E-02 -9.233E-02 6.142E-02 6.616E-02 4.032E-02 ,
25,-4.930E-01 -8.688E-02 -9.798E-02 6.594E-02 8.330E-02 4.690E-02 ,
26,-8.650E-01 -1.107E-01 -1.231E-01 9.403E-02 1.103E-01 3.453E-02 ,
27,-1.243E+00 -8.476E-02 -1.093E-01 9.994E-02 9.852E-02 2.794E-02 ,
28,-1.611E+00 -8.437E-02 -1.142E-01 9.313E-02 1.059E-01 4.483E-02 ,
29,-1.759E+00 -2.127E-02 -6.342E-02 8.314E-02 1.333E-01 1.807E-02 ,
30,-1.858E+00 1.812E-03 -7.953E-02 3.886E-02 1.146E-01 -7.639E-03 ,
31,-1.943E+00 -6.471E-02 -1.123E-01 -1.067E-02 8.223E-02 -6.303E-03 ,
32,-1.890E+00 -7.567E-02 -1.042E-01 -2.504E-02 8.351E-02 2.422E-03 ,
33,-1.728E+00 -2.057E-02 -3.898E-02 -5.121E-02 1.370E-01 -1.984E-02 ,
34,-1.581E+00 -1.032E-01 -1.381E-01 -8.416E-02 1.172E-01 -1.032E-02 ,
35,-1.251E+00 -9.318E-02 -1.129E-01 -1.066E-01 1.042E-01 2.030E-03 ,
36,-9.347E-01 -9.206E-02 -9.589E-02 -7.283E-02 9.880E-02 -2.776E-02 ,
37,-6.314E-01 -1.036E-01 -1.199E-01 -6.931E-02 1.021E-01 -5.231E-02 ,
38,-1.766E-01 -1.863E-02 -3.732E-02 -3.834E-02 1.418E-01 -2.569E-02 ,
39,2.062E-02 -1.158E-01 -1.381E-01 -2.868E-02 8.551E-02 -1.297E-02 ,
40,7.784E-02 -9.751E-02 -1.365E-01 1.725E-02 8.861E-02 2.975E-02 ,
41,4.041E-02 -4.121E-02 -1.145E-01 4.377E-02 9.683E-02 2.355E-02 ,
42,-5.941E-02 -5.844E-03 2.864E-02 2.675E-02 7.989E-02 -3.971E-02 ,
43,-1.068E-01 1.523E-01 1.618E-01 -1.225E-01 -2.470E-01 -3.481E-02 ,
44,-1.844E-01 7.615E-01 3.687E-01 -1.805E-01 -6.571E-01 -7.508E-02 ,
