 Element ID, Tensor(Element Stresses (2D & 3D)),

1,-8.025E+01 -1.873E+02 -8.025E+01 -2.082E+00 5.438E+01 0.000E+00 ,
2,2.577E+01 1.270E+02 4.760E+00 -5.897E+00 7.383E+00 1.771E-01 ,
3,-3.807E+01 -1.418E+02 -1.768E+01 -1.235E+01 2.202E+01 3.289E+00 ,
4,-7.723E+01 -1.884E+02 -7.967E+01 -3.515E+00 5.268E+01 1.074E+00 ,
5,1.027E+00 -8.945E+00 -2.450E+01 -1.054E-01 4.210E+01 -3.645E-01 ,
6,-2.100E-01 1.364E-01 -5.894E-01 7.876E-02 -6.564E-01 1.401E-01 ,
7,6.179E-01 -2.819E-01 -2.532E-01 -3.957E-01 1.442E+00 -4.026E-01 ,
8,2.573E+00 8.593E+01 2.569E+00 2.319E-01 2.990E+00 -1.139E+00 ,
9,-1.651E+01 -1.034E+02 7.206E-02 -4.608E+00 6.977E+00 6.980E-01 ,
10,-6.830E+00 -1.594E+01 -6.830E+00 8.153E-01 2.154E+01 0.000E+00 ,
11,-4.305E+01 -1.263E+02 -2.034E+01 2.357E+00 2.755E+01 -5.535E+00 ,
12,2.953E+00 3.894E+01 1.069E+01 -2.165E+00 1.756E+01 2.042E+00 ,
13,2.050E+00 -2.511E+00 -4.659E+01 1.885E-01 6.554E+00 -5.706E+00 ,
14,3.048E+00 -6.728E-01 -7.978E-01 3.679E-01 1.485E+00 -1.831E+00 ,
15,5.058E-01 -1.120E+01 -2.978E+01 8.577E-01 4.488E+01 9.526E-01 ,
16,4.536E+00 6.423E+00 -6.975E+01 1.544E+00 1.443E+01 -2.508E+00 ,
17,1.408E-01 -1.707E+01 -1.374E+00 -1.232E+00 5.017E+00 2.637E-03 ,
18,-7.930E+00 1.181E+00 -9.216E+01 2.416E-01 1.166E+01 -4.903E+00 ,
19,8.468E-01 1.656E+00 6.756E-01 1.259E-01 -2.352E-01 5.839E-01 ,
20,1.439E+00 2.779E-01 -2.046E-01 -3.707E-01 -1.856E-01 1.006E-01 ,
21,-1.473E+01 -3.436E+01 -1.473E+01 -7.554E-01 2.264E+01 3.539E-16 ,
22,-1.627E+00 -5.437E+01 -5.752E+00 2.972E+00 1.887E+01 2.716E+00 ,
23,7.749E+01 1.743E+02 1.019E+01 7.218E+00 -2.052E+01 -1.268E+01 ,
24,9.553E+01 2.052E+02 5.741E+01 1.836E+01 5.080E+01 -1.729E+01 ,
25,-3.899E+01 -2.653E-01 -1.961E+02 -2.272E+01 6.805E+01 1.456E+01 ,
26,-3.648E+01 -8.513E+01 -3.648E+01 -4.983E+00 2.971E+01 -2.653E-16 ,
